,telefono,is_intercettato
471,+393511771190,N
472,+393273774208,N
473,+393248010390,N
474,+393287304323,N
475,+393274521915,N
476,+393332948261,N
477,+393510594909,N
478,+393247424170,N
479,+393332085957,N
480,+393423115642,N
481,+393892010560,N
482,+393274364367,N
483,+393893476794,N
484,+393297754834,N
485,+393511343054,N
486,+393281349469,N
487,+393276843313,N
488,+393456246175,N
489,+393510317769,N
490,+393881982306,N
491,+393274727318,N
492,+393398457585,N
493,+393894809922,N
494,+393487223097,N
495,+393290090097,N
496,+393471693568,N
497,+393274417731,N
498,+393342058960,N
499,+393891659840,N
500,+393809064762,N
501,+393381919911,N
502,+393284676509,N
503,+393208485206,N
504,+393806377168,N
505,+393885757010,N
506,+393391130382,N
507,+393804740472,N
508,+393314633670,N
509,+393208562440,N
510,+393275587424,N
511,+393392693001,N
512,+393204914663,N
513,+393926203757,N
514,+393293678350,N
515,+393923384936,N
516,+393240450332,N
517,+393209174713,N
518,+393281592545,N
519,+393929359655,N
520,+393277726346,N
521,+393285416725,N
522,+393298874527,N
523,+393882520673,N
524,+393246648602,N
525,+393474861215,N
526,+393387988843,N
527,+393208603913,N
528,+393473864865,N
529,+393209280170,N
530,+393899948003,N
531,+393294138278,N
532,+393358328378,N
533,+393407274813,N
534,+393209566245,N
535,+393888852403,N
536,+393272045401,N
537,+393288719435,N
538,+393888091257,N
539,+393881580188,N
540,+393249012580,N
541,+393383494839,N
542,+393276876764,N
543,+393493844146,N
544,+393296139733,N
545,+393914857968,N
546,+393883737210,N
547,+393288329236,N
548,+393357782417,N
549,+393200999998,N
550,+393284223777,N
551,+393278375350,N
552,+393270813133,N
553,+393389231887,N
554,+393270808499,N
555,+393272067494,N
556,+393297863696,N
557,+393278233052,N
558,+393803822926,N
559,+393471047406,N
560,+393883092585,N
561,+393270822322,N
562,+393313501177,N
563,+393271646930,N
564,+34642844339,N
565,+393666669991,N
566,+393889307735,N
567,+393292290457,N
568,+393881637220,N
569,+393771921989,N
570,+393892138025,N
571,+393471944365,N
572,+393312687144,N
573,+393495509357,N
574,+393889949468,N
575,+393286048296,N
576,+393240563994,N
577,+393317053192,N
578,+393890610846,N
579,+393383777491,N
580,+393204883496,N
581,+34642248855,N
582,+393208248314,N
583,+393291146798,N
584,+393275707953,N
585,+393291866872,N
586,+393886346949,N
587,+393209009142,N
588,+393205609679,N
589,+393339413693,N
590,+393279833544,N
591,+393887236040,N
592,+393248983555,N
593,+393807787290,N
594,+393208255987,N
595,+393274426073,N
596,+393335928699,N
597,+393498859941,N
598,+393290360704,N
599,+393276515034,N
600,+393898738912,N
601,+393895544073,N
602,+393204676285,N
603,+393280563335,N
604,+393286820250,N
605,+3933183072+,N
606,+393387081518,N
607,+393802363274,N
608,+393512667625,N
609,+393892153016,N
610,+393275490794,N
611,+393897962703,N
612,+393403139114,N
613,+393279339451,N
614,+393246663330,N
615,+393887530193,N
616,+393894215027,N
617,+393288340169,N
618,+393494261261,N
619,+393405891249,N
620,+393463141498,N
621,+393274565076,N
622,+393886915618,N
623,+393775338361,N
624,+393280940635,N
625,+393407510814,N
626,+393274103115,N
627,+393248672379,N
628,+393273566107,N
629,+393270889775,N
630,+393273619918,N
631,+393664114901,N
632,+393387746828,N
633,+393280598635,N
634,+393283656550,N
635,+393291611068,N
636,+393292895723,N
637,+393889553771,N
638,+393895172760,N
639,+393881292817,N
640,+393276279485,N
641,+393246920472,N
642,+393889559833,N
643,+393896966101,N
644,+393286012047,N
645,+393468246097,N
646,+393287035433,N
647,+393209755912,N
648,+393291967248,N
649,+393282498389,N
650,+393891586698,N
651,+393206416283,N
652,+393893167513,N
653,+393385210164,N
654,+393885706161,N
655,+393311518624,N
656,+393938973215,N
657,+393497865341,N
658,+393807675434,N
659,+393294780802,N
660,+393293761027,N
661,+393806516696,N
662,+393209362788,N
663,+393312536895,N
664,+393206405852,N
665,+393510988841,N
666,+393334924737,N
667,+393246111245,N
668,+393299160651,N
669,+393294229133,N
670,+393299686462,N
671,+393202715311,N
672,+393286674653,N
673,+393929009180,N
674,+393204450423,N
675,+393281482942,N
676,+393473408372,N
677,+393511528225,N
678,+393285478786,N
679,+393921433337,N
680,+393280619188,N
681,+393393326380,N
682,+393510398638,N
683,+393297204773,N
684,+393894572955,N
685,+393208770455,N
686,+393470550054,N
687,+39330206687,N
688,+393292730873,N
689,+393805995992,N
690,+393247890553,N
691,+393278646761,N
692,+393922847691,N
693,+393204961659,N
694,+393285656219,N
695,+393299191563,N
696,+393294769673,N
697,+393341281382,N
698,+393802617748,N
699,+393284422477,N
700,+393203894668,N
701,+393804691315,N
702,+393209421532,N
703,+393278938937,N
704,+393892040196,N
705,+393471353630,N
706,+393467289660,N
707,+393290208629,N
708,+393890825713,N
709,+393295404479,N
710,+393292187125,N
711,+393490667733,N
712,+34642513172,N
713,+393286350685,N
714,+393385343624,N
715,+393294149541,N
716,+393801281129,N
717,+393271721565,N
718,+393202912964,N
719,+393387385234,N
720,+393388649604,N
721,+393284518469,N
722,+393288210346,N
723,+393274488674,N
724,+393284591836,N
725,+393493670879,N
726,+393881679850,N
727,+393888761228,N
728,+393896221088,N
729,+393295463203,N
730,+393396084525,N
731,+393454000346,N
732,+393280395354,N
733,+393271080386,N
734,+393294368521,N
735,+393803299136,N
736,+393493250458,N
737,+393205323569,N
738,+3938892698+,N
739,+393493057655,N
740,+393282366233,N
741,+393458514110,N
742,+393286396120,N
743,+393200728231,N
744,+393204649024,N
745,+393404903247,N
746,+393337789678,N
747,+393917335495,N
748,+393270709470,N
749,+393271336867,N
750,+393248905438,N
751,+393282038736,N
752,+393284423163,N
753,+393338128104,N
754,+393807844271,N
755,+393293775050,N
756,+393891536922,N
757,+393284178244,N
758,+393249896358,N
759,+393896825538,N
760,+393274146764,N
761,+393512069509,N
762,+393290272902,N
763,+393881243827,N
764,+393396217173,N
765,+393896725372,N
766,+393278239365,N
767,+393806478123,N
768,+393278778422,N
769,+393488136655,N
770,+393204659570,N
771,+393899177723,N
772,+393201623438,N
773,+393289036284,N
774,+393297180868,N
775,+393273048869,N
776,+393273735814,N
777,+393897815340,N
778,+3938046955+,N
779,+393313188684,N
780,+393332064730,N
781,+393207151363,N
782,+393201479636,N
783,+393206819554,N
784,+393936151666,N
785,+393200265593,N
786,+393890057992,N
787,+393453909455,N
788,+393283536981,N
789,+393927860964,N
790,+393441993126,N
791,+393462243911,N
792,+393890912063,N
793,+393911274607,N
794,+393272226604,N
795,+393297479613,N
796,+393887995381,N
797,+393884386416,N
798,+393911428163,N
799,+393923291605,N
800,+393496074943,N
801,+393289044892,N
802,+393284750471,N
803,+393423151591,N
804,+393296146095,N
805,+393248479372,N
806,+393278132777,N
807,+393890563446,N
808,+393888311006,N
809,+393478814111,N
810,+393384045387,N
811,+393209654895,N
812,+393202754156,N
813,+393465115375,N
814,+393297550261,N
815,+393933991424,N
816,+393284979587,N
817,+4917699016037,N
818,+393278756522,N
819,+393890094876,N
820,+393667001207,N
821,+393351488171,N
822,+393280224374,N
823,+393273805099,N
824,+393924803872,N
825,+393298871428,N
826,+393889806755,N
827,+393897954201,N
828,+393202325037,N
829,+393270898998,N
830,+393295980240,N
831,+393289086365,N
832,+393279075797,N
833,+393271631171,N
834,+393270187648,N
835,+393887990625,N
836,+393809007906,N
837,+393496892623,N
838,+393393866801,N
839,+393248040554,N
840,+393270133872,N
841,+393290772677,N
842,+393295965616,N
843,+393914364044,N
844,+393271208426,N
845,+393290764215,N
846,+393288120508,N
847,+393894899777,N
848,+393888025240,N
849,+393279147918,N
850,+393297658564,N
851,+393917776747,N
852,+393200626396,N
853,+393893436727,N
854,+393203163953,N
855,+393245496217,N
856,+393276298076,N
857,+393498409322,N
858,+393486034560,N
859,+393451383930,N
860,+393484682382,N
861,+3934761651+,N
862,+393471003867,N
863,+393200206193,N
864,+393207432452,N
865,+393896040549,N
866,+393886910480,N
867,+393277731892,N
868,+393290383056,N
869,+393385810241,N
870,+393200748290,N
871,+393892883103,N
872,+393397701590,N
873,+393898486880,N
874,+393285705758,N
875,+393891973439,N
876,+393925168877,N
877,+393882499948,N
878,+393883931439,N
879,+393290409322,N
880,+393485524897,N
881,+393384082659,N
882,+393881772105,N
883,+393896964136,N
884,+393277904139,N
885,+393896162842,N
886,+393920490309,N
887,+393924661258,N
888,+393804681119,N
889,+393208718484,N
890,+393512511180,N
891,+393802120872,N
892,+393884755652,N
893,+393295744426,N
894,+393275805538,N
895,+393208276513,N
896,+393886904739,N
897,+393338550509,N
898,+393333110051,N
899,+393805927567,N
900,+393511729476,N
901,+393465212649,N
902,+393280925768,N
903,+393208671540,N
904,+393290729968,N
905,+393772033876,N
906,+393289266942,N
907,+393281095870,N
908,+393297362798,N
909,+393881464188,N
910,+393806978597,N
911,+393887752836,N
912,+393284984856,N
913,+393807632043,N
914,+393455820830,N
915,+393400948925,N
916,+34642155733,N
917,+393886281677,N
918,+393807606753,N
919,+393294068993,N
920,+393290446341,N
921,+393205689796,N
922,+393205595158,N
923,+393286094725,N
924,+393347162130,N
925,+393203722793,N
926,+393338287036,N
927,+393393915322,N
928,+393882497461,N
929,+3932740924+,N
930,+393404207559,N
931,+393885814241,N
932,+393926709303,N
933,+393206147215,N
934,+393288240282,N
935,+393891048904,N
936,+393246012021,N
937,+393295360865,N
938,+393351227482,N
939,+393487582521,N
940,+393209458273,N
941,+393281662721,N
942,+3938835862+,N
943,+393883478508,N
944,+393280611847,N
945,+393280611838,N
946,+393240707113,N
947,+393200955853,N
948,+393511712448,N
949,+393282634322,N
950,+393807462494,N
951,+393200342579,N
952,+393334246176,N
953,+393484942322,N
954,+393807864581,N
955,+393289849335,N
956,+393287774666,N
957,+393475251835,N
958,+393667020205,N
959,+393923472818,N
960,+393895312007,N
961,+393204162034,N
962,+393880557027,N
963,+393299369511,N
964,+393466960721,N
965,+393894336916,N
966,+393891705906,N
967,+393899675989,N
968,+393200143474,N
969,+393924721198,N
970,+393276546141,N
971,+393288558113,N
972,+393294866387,N
973,+393707188859,N
974,+393420933180,N
975,+393896303723,N
976,+393294415808,N
977,+393338811677,N
978,+393246223331,N
979,+393486829013,N
980,+393292746013,N
981,+393884559545,N
982,+393295424014,N
983,+393803851654,N
984,+393898874102,N
985,+393511615048,N
986,+393279480197,N
987,+393381624352,N
988,+393801236658,N
989,+393293779248,N
990,+393891510358,N
991,+393270097769,N
992,+393801046242,N
993,+393881136447,N
994,+393348595186,N
995,+393897679904,N
996,+393246029173,N
997,+393807383708,N
998,+393460262817,N
999,+393880918497,N
1000,+393450775508,N
1001,+393803465509,N
1002,+39329478++,N
1003,+393895757385,N
1004,+393802862328,N
1005,+393272430963,N
1006,+393891644480,N
1007,+393886486969,N
1008,+393336585160,N
1009,+393270037690,N
1010,+393202772556,N
1011,+393275566845,N
1012,+393273405885,N
1013,+393395417515,N
1014,+393288199296,N
1015,+393383137017,N
1016,+393803845564,N
1017,+393282655588,N
1018,+393533108009,N
1019,+393247972562,N
1020,+393271138377,N
1021,+393204876620,N
1022,+393896849214,N
1023,+393273012455,N
1024,+393290914065,N
1025,+393480595709,N
1026,+393884026366,N
1027,+393926670895,N
1028,+393200207031,N
1029,+393334290657,N
1030,+393894962107,N
1031,+393771870615,N
1032,+393334283437,N
1033,+39353300407736,N
1034,+393248859140,N
1035,+393204441859,N
1036,+393240817082,N
1037,+393803678981,N
1038,+393206744891,N
1039,+393276888007,N
1040,+393201929339,N
1041,+393738183425,N
1042,+393802103156,N
1043,+393293225565,N
1044,+393200130825,N
1045,+393284488437,N
1046,+393318442143,N
1047,+393735346751,N
1048,+393403578307,N
1049,+393249992179,N
1050,+393803489769,N
1051,+393882523681,N
1052,+393807692117,N
1053,+393890419898,N
1054,+393280688668,N
1055,+393270612568,N
1056,+393473751843,N
1057,+393312334366,N
1058,+393271752141,N
1059,+393285870555,N
1060,+393880480336,N
1061,+393279365378,N
1062,+393510528806,N
1063,+393383642005,N
1064,+393276781750,N
1065,+393245827017,N
1066,+393885713626,N
1067,+34642421077,N
1068,+393801781192,N
1069,+393894343466,N
1070,+393270143047,N
1071,+393274448097,N
1072,+393200367452,N
1073,+393512013263,N
1074,+393290774470,N
1075,+393280351153,N
1076,+393931011954,N
1077,+393288264648,N
1078,+393477604854,N
1079,+393286299820,N
1080,+393208892335,N
1081,+393474274561,N
1082,+393281089514,N
1083,+393806455630,N
1084,+393883617138,N
1085,+393240919556,N
1086,+393290936844,N
1087,+393510013558,N
1088,+393319498945,N
1089,+393287815231,N
1090,+393510017465,N
1091,+393803817138,N
1092,+393281053664,N
1093,+393505514722,N
1094,+393896975671,N
1095,+393921332086,N
1096,+393735145443,N
1097,+393930641922,N
1098,+393294910632,N
1099,+3938989247+,N
1100,+393890280184,N
1101,+393703292999,N
1102,+393202373925,N
1103,+393288759238,N
1104,+3932745662+,N
1105,+393711411390,N
1106,+393270115690,N
1107,+393276694249,N
1108,+393297663375,N
1109,+393397630593,N
1110,+393208889671,N
1111,+393804581364,N
1112,+393898246287,N
1113,+393895769961,N
1114,+393280891615,N
1115,+393885631220,N
1116,+393297860378,N
1117,+3935330040776,N
1118,+393898441658,N
1119,+393466721908,N
1120,+393801312625,N
1121,+393472914230,N
1122,+393384775623,N
1123,+393282214944,N
1124,+393209146330,N
1125,+393891118650,N
1126,+393804393582,N
1127,+393247809557,N
1128,+393338581538,N
1129,+393925818925,N
1130,+393280644455,N
1131,+393274037053,N
1132,+393894864487,N
1133,+393342897558,N
1134,+393299455935,N
1135,+393920907992,N
1136,+393470530709,N
1137,+393282557001,N
1138,+393275691645,N
1139,+393488644643,N
1140,+393285540314,N
1141,+393892374253,N
1142,+393209338617,N
1143,+393278241133,N
1144,+393278774508,N
1145,+393891166081,N
1146,+393892161143,N
1147,+393457958286,N
1148,+393313856253,N
1149,+393487066001,N
1150,+393805056663,N
1151,+393888112906,N
1152,+393248243687,N
1153,+393270944488,N
1154,+393898484189,N
1155,+393349602684,N
1156,+393203225321,N
1157,+393249977181,N
1158,+393806326381,N
1159,+3935330040770,N
1160,+393881882118,N
1161,+393896187463,N
1162,+393274144377,N
1163,+393200565985,N
1164,+393292446732,N
1165,+393803480176,N
1166,+393886567208,N
1167,+393895088555,N
1168,+393331041365,N
1169,+393533168563,N
1170,+393895384797,N
1171,+393277523715,N
1172,+393208356259,N
1173,+393883515023,N
1174,+393277106776,N
1175,+393203410041,N
1176,+393278191444,N
1177,+393276380638,N
1178,+393891776107,N
1179,+393288095712,N
1180,+393293613628,N
1181,+34634356625,N
1182,+393288568422,N
1183,+393665295605,N
1184,+393208673370,N
1185,+393285807848,N
1186,+393668278730,N
1187,+393208364244,N
1188,+393277822650,N
1189,+393208821595,N
1190,+393294474315,N
1191,+393335310731,N
1192,+393459084432,N
1193,+393209213650,N
1194,+393917461819,N
1195,+393896232851,N
1196,+393896968912,N
1197,+393887370682,N
1198,+393279270018,N
1199,+393296438275,N
1200,+393922355809,N
1201,+393884787285,N
1202,+393926883056,N
1203,+3935330040774,N
1204,+393279862833,N
1205,+393289153661,N
1206,+393804782624,N
1207,+393287508685,N
1208,+393289163988,N
1209,+393284658052,N
1210,+393246827073,N
1211,+393291912117,N
1212,+393886989762,N
1213,+393272272066,N
1214,+393293213572,N
1215,+393209026120,N
1216,+393463756761,N
1217,+393349568571,N
1218,+393206462519,N
1219,+393285579070,N
1220,+393801223163,N
1221,+393204874898,N
1222,+393807573230,N
1223,+393886321087,N
1224,+393314589228,N
1225,+393311615350,N
1226,+393888058587,N
1227,+393289781725,N
1228,+393510789644,N
1229,+393284689194,N
1230,+393895647345,N
1231,+393492919018,N
1232,+393203544801,N
1233,+393208409090,N
1234,+393272952862,N
1235,+393892303843,N
1236,+393277856158,N
1237,+393881706864,N
1238,+393662904362,N
1239,+393880997708,N
1240,+393314994048,N
1241,+393279976921,N
1242,+393293229699,N
1243,+393208173253,N
1244,+393883885681,N
1245,+393347832725,N
1246,+393890386011,N
1247,+393385443590,N
1248,+393296053004,N
1249,+393334059994,N
1250,+393291756132,N
1251,+393200804930,N
1252,+393887816815,N
1253,+393279493440,N
1254,+393270677032,N
1255,+393408566707,N
1256,+393270603885,N
1257,+393477210470,N
1258,+393206174242,N
1259,+393896264467,N
1260,+393296052048,N
1261,+393512518808,N
1262,+393391671811,N
1263,+393288311027,N
1264,+393883552371,N
1265,+393273464274,N
1266,+393290876583,N
1267,+393275311733,N
1268,+393491071131,N
1269,+393276695362,N
1270,+393403290960,N
1271,+393387716493,N
1272,+393292458653,N
1273,+393495648079,N
1274,+393459503840,N
1275,+393280838745,N
1276,+393274997084,N
1277,+393383935831,N
1278,+393298791029,N
1279,+393275897230,N
1280,+393391554851,N
1281,+393248417036,N
1282,+393917212669,N
1283,+393287091912,N
1284,+393283749762,N
1285,+393283166008,N
1286,+393478799632,N
1287,+393807417119,N
1288,+393200693590,N
1289,+393276823731,N
1290,+393283570734,N
1291,+393927527183,N
1292,+393285536721,N
1293,+393384171832,N
1294,+393489311763,N
1295,+393398214676,N
1296,+393294269679,N
1297,+393295487952,N
1298,+393898929097,N
1299,+393331130902,N
1300,+393293484645,N
1301,+34642878939,N
1302,+393272232018,N
1303,+393296346548,N
1304,+393669519092,N
1305,+393458964825,N
1306,+393939896888,N
1307,+393396369845,N
1308,+393510656509,N
1309,+393248439078,N
1310,+393271562138,N
1311,+393389206943,N
1312,+393884949565,N
1313,+393316780580,N
1314,+393288571797,N
1315,+393892381652,N
1316,+393207780984,N
1317,+393204694696,N
1318,+393896461228,N
1319,+393404094183,N
1320,+393201850296,N
1321,+393802104391,N
1322,+393296962474,N
1323,+393240495894,N
1324,+393277036480,N
1325,+393208346981,N
1326,+393202117872,N
1327,+393939938257,N
1328,+393510236770,N
1329,+393278940631,N
1330,+393294580459,N
1331,+393807195381,N
1332,+393200495714,N
1333,+393737666388,N
1334,+393345015806,N
1335,+393899566907,N
1336,+393887373104,N
1337,+393278376768,N
1338,+393894732268,N
1339,+393349911774,N
1340,+393427799923,N
1341,+393420984033,N
1342,+393202129940,N
1343,+393204831837,N
1344,+393240750223,N
1345,+393336864337,N
1346,+39335315860,N
1347,+393496671924,N
1348,+393493617959,N
1349,+393334033596,N
1350,+393204173052,N
1351,+393897917689,N
1352,+393347631440,N
1353,+393891729969,N
1354,+393512928354,N
1355,+393270438997,N
1356,+393477282101,N
1357,+393358039845,N
1358,+393467477127,N
